date,open,oil
2014-03-07,744.01,101.970001
2014-03-10,736.2,102.75
2014-03-11,738.58,100.940002
2014-03-12,731.01,99.480003
2014-03-13,720.18,98.099998
2014-03-14,705.26,98.25
2014-03-17,710.32,99.389999
2014-03-18,715.97,97.970001
2014-03-19,725.48,99.529999
2014-03-20,716.51,100.389999
2014-03-21,709.32,98.589996
2014-03-24,707.05,99.489998
2014-03-25,703.85,99.43
2014-03-26,698.58,99.18
2014-03-27,707.75,100.300003
2014-03-28,711.0,101.339996
2014-03-31,714.39,101.690002
2014-04-01,719.72,101.529999
2014-04-02,721.88,99.639999
2014-04-03,711.36,99.290001
2014-04-04,709.77,100.379997
2014-04-07,697.9,100.910004
2014-04-08,698.82,100.690002
2014-04-09,705.61,102.349998
2014-04-10,695.32,103.440002
2014-04-11,686.98,103.339996
2014-04-14,676.79,103.559998
2014-04-15,670.11,103.599998
2014-04-16,683.4,103.760002
2014-04-17,686.83,103.839996
2014-04-18,687.2,103.839996
2014-04-21,689.5,104.540001
2014-04-22,706.42,104.360001
2014-04-23,704.91,101.860001
2014-04-24,701.55,101.540001
2014-04-25,691.85,101.93
2014-04-28,678.25,100.489998
2014-04-29,675.52,100.889999
2014-04-30,678.65,100.760002
2014-05-01,681.15,99.720001
2014-05-02,685.38,99.169998
2014-05-05,684.23,99.959999
2014-05-06,683.06,99.379997
2014-05-07,668.45,99.830002
2014-05-08,663.33,100.82
2014-05-09,665.49,100.269997
2014-05-12,682.64,100.120003
2014-05-13,681.78,100.629997
2014-05-14,685.71,101.910004
2014-05-15,670.25,102.029999
2014-05-16,664.65,101.559998
2014-05-19,666.37,102.129997
2014-05-20,666.27,102.599998
2014-05-21,676.21,102.959999
2014-05-22,688.05,103.849998
2014-05-23,694.72,103.709999
2014-05-26,700.91,103.709999
2014-05-27,699.51,104.339996
2014-05-28,700.31,104.139999
2014-05-29,706.86,103.059998
2014-05-30,704.2,103.510002
2014-06-02,704.78,102.919998
2014-06-03,702.64,102.440002
2014-06-04,700.28,102.790001
2014-06-05,706.22,102.370003
2014-06-06,711.69,102.440002
2014-06-09,714.21,102.779999
2014-06-10,713.41,104.459999
2014-06-11,716.57,104.300003
2014-06-12,719.65,104.470001
2014-06-13,727.56,106.839996
2014-06-16,728.47,106.879997
2014-06-17,740.58,106.589996
2014-06-18,747.92,106.599998
2014-06-19,747.73,106.110001
2014-06-20,749.77,106.599998
2014-06-23,744.52,107.419998
2014-06-24,737.43,106.019997
2014-06-25,741.08,106.139999
2014-06-26,748.18,106.709999
